[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
5003,Director Remuneration,Director Remuneration,Expense,,No,No,,
5004,Employee Benefits,Employee Benefits,Expense,,No,No,,
5005,Internet and Communication Expense,Internet and Communication Expense,Expense,,No,No,,
5006,Office Supplies,Office Supplies,Expense,,No,No,,
5007,Professional Fees,Professional Fees,Expense,,No,No,,
5008,Travel and Accommodation Expense,Travel and Accommodation Expense,Expense,,No,No,,
5009,Marketing and Advertising,Marketing and Advertising,Expense,,No,No,,
5101,Software Subscriptions,Software Subscriptions,Expense,,No,No,,
5102,Utility Bills,Utility Bills,Expense,,No,No,,
5103,Printing and Stationery,Printing and Stationery,Expense,,No,No,,
5201,Bank Charges,Bank Charges,Expense,,No,No,,
5202,Miscellaneous Expenses,Miscellaneous Expenses,Expense,,No,No,,
5203,Depreciation,Depreciation,Expense,,No,No,,
5301,Income Tax,Income Tax,Expense,,No,No,,
5302,GST,GST,Expense,,No,No,,
